DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,OR,116,"$24,126.11 ","$7,593.01 ","$6,134.53 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,WV,118,"$19,191.09 ","$6,419.57 ","$4,963.51 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,IA,141,"$22,477.63 ","$6,620.11 ","$5,219.82 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,CO,151,"$41,827.18 ","$7,579.42 ","$5,303.72 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,AR,163,"$24,636.87 ","$6,052.60 ","$4,629.55 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,AZ,180,"$36,980.61 ","$7,212.62 ","$5,762.74 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,CT,189,"$30,303.93 ","$8,989.25 ","$6,885.50 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,KS,191,"$36,736.95 ","$6,093.15 ","$4,830.43 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NV,194,"$53,029.63 ","$7,558.51 ","$6,085.14 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,WI,209,"$25,520.25 ","$7,302.52 ","$5,241.23 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MN,238,"$22,610.13 ","$7,922.03 ","$5,937.32 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,OK,249,"$30,473.27 ","$6,489.10 ","$5,049.53 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,KY,255,"$25,840.80 ","$6,400.59 ","$4,877.87 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,WA,257,"$27,326.31 ","$7,499.23 ","$6,050.11 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,LA,264,"$27,263.09 ","$7,012.04 ","$5,345.87 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MS,280,"$34,214.13 ","$5,832.41 ","$4,754.73 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,SC,317,"$27,758.14 ","$6,012.26 ","$4,789.72 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MO,394,"$24,916.37 ","$6,131.63 ","$5,000.72 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,TN,409,"$30,977.24 ","$6,193.40 ","$4,936.10 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,IN,429,"$25,133.51 ","$7,110.99 ","$5,064.46 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,VA,464,"$25,854.12 ","$6,561.49 ","$4,800.13 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,AL,483,"$29,696.29 ","$5,687.21 ","$4,277.23 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,GA,499,"$28,089.45 ","$6,725.99 ","$5,144.91 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MD,542,"$10,895.64 ","$10,098.22 ","$8,734.07 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NC,548,"$23,597.90 ","$6,901.65 ","$5,111.56 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MA,606,"$18,004.28 ","$8,804.57 ","$7,070.84 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,OH,683,"$22,616.31 ","$6,812.30 ","$5,184.22 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NJ,694,"$53,369.53 ","$7,501.92 ","$6,081.21 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,IL,898,"$30,736.91 ","$7,868.61 ","$5,831.04 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MI,955,"$18,629.40 ","$7,108.64 ","$5,724.62 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,PA,983,"$53,184.29 ","$8,767.51 ","$6,015.18 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NY,"1,199","$35,095.71 ","$9,777.22 ","$7,858.90 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,TX,"1,223","$38,674.75 ","$7,004.59 ","$5,155.75 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,CA,"1,405","$50,916.29 ","$9,124.08 ","$7,583.59 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,FL,"1,589","$40,369.38 ","$6,296.39 ","$4,945.24 "
075 - VIRAL MENINGITIS W CC/MCC,SC,11,"$56,001.55 ","$12,843.27 ","$8,792.00 "
075 - VIRAL MENINGITIS W CC/MCC,AR,12,"$50,384.08 ","$11,332.17 ","$10,022.58 "
075 - VIRAL MENINGITIS W CC/MCC,GA,12,"$52,207.25 ","$11,467.00 ","$10,407.08 "
075 - VIRAL MENINGITIS W CC/MCC,KS,12,"$58,769.42 ","$10,683.08 ","$10,038.50 "
075 - VIRAL MENINGITIS W CC/MCC,NJ,12,"$60,935.33 ","$13,341.42 ","$11,532.00 "
075 - VIRAL MENINGITIS W CC/MCC,CO,13,"$117,437.62 ","$16,208.77 ","$13,936.08 "
075 - VIRAL MENINGITIS W CC/MCC,MN,13,"$42,839.08 ","$14,908.00 ","$13,039.31 "
075 - VIRAL MENINGITIS W CC/MCC,MA,14,"$20,068.07 ","$15,013.50 ","$13,502.79 "
075 - VIRAL MENINGITIS W CC/MCC,IL,16,"$43,253.50 ","$12,266.50 ","$9,787.00 "
075 - VIRAL MENINGITIS W CC/MCC,VA,19,"$47,023.53 ","$12,576.42 ","$10,224.47 "
075 - VIRAL MENINGITIS W CC/MCC,IN,20,"$39,306.55 ","$12,100.75 ","$8,257.45 "
075 - VIRAL MENINGITIS W CC/MCC,MO,20,"$38,859.80 ","$10,691.45 ","$8,607.05 "
075 - VIRAL MENINGITIS W CC/MCC,PA,20,"$64,259.30 ","$13,331.75 ","$9,681.70 "
075 - VIRAL MENINGITIS W CC/MCC,AZ,21,"$75,124.67 ","$11,820.57 ","$10,638.19 "
075 - VIRAL MENINGITIS W CC/MCC,TN,21,"$42,585.24 ","$11,140.76 ","$9,169.86 "
075 - VIRAL MENINGITIS W CC/MCC,MD,23,"$14,390.83 ","$13,347.04 ","$11,980.43 "
075 - VIRAL MENINGITIS W CC/MCC,MI,23,"$33,733.65 ","$12,853.52 ","$11,187.57 "
075 - VIRAL MENINGITIS W CC/MCC,OH,24,"$41,336.17 ","$12,083.50 ","$9,653.38 "
075 - VIRAL MENINGITIS W CC/MCC,NC,30,"$45,898.67 ","$15,077.90 ","$11,603.97 "
075 - VIRAL MENINGITIS W CC/MCC,WA,34,"$43,359.76 ","$14,345.59 ","$9,910.50 "
075 - VIRAL MENINGITIS W CC/MCC,NY,41,"$78,305.17 ","$18,321.76 ","$15,179.41 "
075 - VIRAL MENINGITIS W CC/MCC,FL,42,"$68,311.64 ","$12,616.64 ","$10,652.45 "
075 - VIRAL MENINGITIS W CC/MCC,CA,64,"$98,054.70 ","$16,907.48 ","$14,574.45 "
075 - VIRAL MENINGITIS W CC/MCC,TX,76,"$61,672.34 ","$11,785.36 ","$8,872.13 "
076 - VIRAL MENINGITIS W/O CC/MCC,NY,14,"$34,368.50 ","$8,317.71 ","$5,857.57 "
076 - VIRAL MENINGITIS W/O CC/MCC,PA,14,"$44,237.36 ","$7,465.79 ","$5,199.43 "
076 - VIRAL MENINGITIS W/O CC/MCC,OH,15,"$17,097.80 ","$5,285.27 ","$4,189.67 "
076 - VIRAL MENINGITIS W/O CC/MCC,FL,21,"$33,808.10 ","$5,703.71 ","$4,253.71 "
076 - VIRAL MENINGITIS W/O CC/MCC,TX,21,"$39,288.52 ","$6,051.81 ","$3,916.10 "
076 - VIRAL MENINGITIS W/O CC/MCC,CA,24,"$51,880.88 ","$7,299.58 ","$6,043.75 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,ID,11,"$64,194.82 ","$12,634.27 ","$11,824.36 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,NM,11,"$43,578.00 ","$12,160.73 ","$10,704.18 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,ME,12,"$37,027.67 ","$13,253.25 ","$12,141.67 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,OR,16,"$29,550.13 ","$13,321.50 ","$10,611.38 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,WV,16,"$32,722.06 ","$10,810.50 ","$9,372.13 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,CO,17,"$56,971.35 ","$10,761.35 ","$9,653.06 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,DC,18,"$66,002.61 ","$15,101.44 ","$11,745.00 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,AR,21,"$27,510.00 ","$8,920.05 ","$7,301.57 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,NV,21,"$62,950.62 ","$10,965.57 ","$10,038.52 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,IA,23,"$48,952.65 ","$12,676.13 ","$11,303.43 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MN,26,"$29,881.69 ","$11,137.35 ","$10,029.00 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,KS,27,"$50,182.00 ","$12,646.07 ","$7,989.52 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,AL,31,"$38,835.87 ","$8,581.42 ","$7,677.42 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,CT,31,"$59,869.94 ","$15,967.97 ","$13,936.65 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,WI,32,"$34,725.16 ","$10,828.41 ","$9,274.91 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,AZ,35,"$72,244.46 ","$14,722.29 ","$13,485.00 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,KY,35,"$51,015.17 ","$11,428.97 ","$9,561.09 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,WA,35,"$44,788.34 ","$12,173.57 ","$10,272.86 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MS,38,"$53,678.95 ","$10,199.18 ","$8,429.39 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MD,44,"$18,965.11 ","$17,508.36 ","$16,342.25 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,OK,44,"$44,983.50 ","$10,380.57 ","$9,058.27 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,LA,46,"$39,182.91 ","$10,190.28 ","$8,598.37 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MA,46,"$29,380.28 ","$13,641.20 ","$12,408.57 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,SC,46,"$44,185.04 ","$10,255.63 ","$7,918.80 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MO,51,"$34,126.98 ","$9,764.22 ","$8,789.20 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,IN,54,"$49,349.81 ","$11,705.28 ","$9,865.22 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,TN,59,"$42,089.44 ","$10,462.20 ","$8,990.12 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,NC,75,"$30,926.87 ","$10,689.73 ","$8,865.72 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,IL,76,"$47,205.50 ","$11,178.54 ","$9,898.11 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,NJ,77,"$88,349.61 ","$12,752.73 ","$11,133.21 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,OH,78,"$35,324.81 ","$11,403.85 ","$9,609.94 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,VA,79,"$38,699.82 ","$10,984.68 ","$9,408.81 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,PA,80,"$55,363.88 ","$11,666.31 ","$9,766.61 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,GA,88,"$41,783.25 ","$10,448.38 ","$9,207.32 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,MI,102,"$32,473.43 ","$11,523.93 ","$10,308.53 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,NY,102,"$48,027.74 ","$15,910.02 ","$13,997.29 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,FL,168,"$68,303.35 ","$10,756.57 ","$8,860.05 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,CA,173,"$77,762.10 ","$14,630.01 ","$13,295.61 "
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,TX,219,"$65,343.16 ","$10,379.95 ","$8,967.69 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,ME,11,"$21,248.09 ","$6,597.00 ","$5,599.91 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NE,17,"$22,912.00 ","$6,910.94 ","$5,561.76 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NM,17,"$25,609.88 ","$7,286.76 ","$6,326.29 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NH,19,"$22,921.16 ","$7,325.84 ","$4,951.47 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,OR,23,"$26,915.09 ","$8,340.74 ","$6,109.30 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NV,24,"$56,505.63 ","$7,426.46 ","$6,387.21 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,CO,25,"$49,886.68 ","$8,012.44 ","$5,578.84 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,IA,26,"$22,803.12 ","$6,782.19 ","$5,679.73 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,WV,29,"$22,560.72 ","$7,515.10 ","$5,030.10 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,AZ,30,"$37,080.17 ","$7,246.87 ","$5,676.43 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,CT,32,"$33,678.06 ","$9,564.59 ","$7,957.47 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,KS,33,"$33,741.09 ","$6,155.70 ","$4,936.58 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,AR,34,"$25,195.71 ","$5,699.24 ","$4,291.71 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,LA,36,"$27,921.97 ","$6,499.17 ","$5,133.69 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MS,36,"$27,634.44 ","$6,101.97 ","$4,548.72 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,WA,41,"$40,075.90 ","$8,045.02 ","$5,742.34 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MN,43,"$26,275.37 ","$7,257.35 ","$5,835.58 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,AL,47,"$27,275.81 ","$5,536.96 ","$4,343.45 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,OK,49,"$25,682.41 ","$6,322.39 ","$5,061.20 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,WI,57,"$25,661.07 ","$7,359.39 ","$5,435.04 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,SC,59,"$29,939.02 ","$6,619.15 ","$5,006.47 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MA,65,"$20,305.85 ","$8,865.91 ","$7,191.28 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MD,66,"$10,910.67 ","$10,097.03 ","$8,845.17 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,KY,69,"$30,835.94 ","$6,789.00 ","$5,044.57 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,IN,72,"$27,566.06 ","$6,439.57 ","$5,230.35 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,VA,92,"$24,571.72 ","$6,597.21 ","$4,981.03 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NJ,93,"$64,344.37 ","$7,956.46 ","$6,433.08 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,GA,95,"$27,931.73 ","$6,631.23 ","$5,158.83 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MO,95,"$28,500.72 ","$6,520.62 ","$5,357.53 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NC,105,"$23,418.87 ","$7,078.16 ","$5,087.29 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,TN,110,"$28,273.01 ","$6,387.63 ","$5,195.20 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,OH,111,"$26,176.90 ","$6,969.16 ","$5,307.67 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,MI,113,"$23,827.21 ","$7,282.05 ","$5,862.04 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,PA,116,"$38,567.50 ","$7,809.30 ","$5,469.77 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,IL,118,"$32,709.07 ","$6,825.90 ","$5,658.47 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,NY,144,"$35,327.33 ","$9,168.22 ","$7,477.84 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,CA,178,"$57,865.80 ","$9,113.59 ","$7,898.95 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,FL,236,"$44,938.30 ","$6,428.69 ","$5,208.05 "
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,TX,255,"$46,370.83 ","$6,796.24 ","$5,362.28 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,OR,12,"$27,231.00 ","$6,717.92 ","$4,052.25 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,AZ,13,"$30,300.31 ","$5,243.38 ","$4,038.77 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,IA,14,"$19,516.21 ","$4,571.36 ","$3,428.79 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,LA,14,"$16,927.71 ","$4,928.21 ","$3,514.71 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,WA,14,"$26,795.64 ","$5,268.00 ","$4,044.29 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,CT,16,"$19,089.69 ","$6,780.63 ","$4,529.94 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,KS,16,"$23,468.88 ","$4,333.81 ","$3,139.38 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,OK,16,"$17,352.13 ","$4,519.63 ","$3,172.00 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,SC,18,"$25,476.61 ","$5,995.67 ","$2,938.00 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MA,20,"$15,395.95 ","$5,730.85 ","$4,581.10 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MS,20,"$33,016.15 ","$4,397.15 ","$3,215.35 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,AL,22,"$30,759.45 ","$4,188.05 ","$3,135.73 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,AR,22,"$13,945.95 ","$4,375.27 ","$2,876.09 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MN,22,"$18,467.00 ","$5,204.91 ","$3,929.77 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,WI,22,"$23,297.09 ","$4,827.82 ","$3,524.32 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,CO,23,"$37,604.70 ","$5,359.65 ","$3,846.52 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,VA,26,"$22,058.81 ","$4,638.23 ","$3,086.92 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,KY,29,"$28,891.86 ","$4,687.76 ","$3,537.86 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,GA,30,"$27,276.33 ","$5,116.33 ","$3,649.43 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MD,32,"$9,180.50 ","$8,476.59 ","$7,497.47 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,IN,35,"$18,739.34 ","$4,872.37 ","$3,307.37 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,OH,36,"$22,118.75 ","$5,220.94 ","$3,157.92 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MO,38,"$24,204.89 ","$4,472.05 ","$3,325.82 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,TN,40,"$20,652.43 ","$4,712.48 ","$3,297.38 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,IL,42,"$24,705.31 ","$5,438.79 ","$3,636.19 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,NC,43,"$20,845.95 ","$5,090.88 ","$3,413.35 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,NJ,43,"$47,226.58 ","$5,662.40 ","$4,071.98 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MI,56,"$17,826.55 ","$5,743.16 ","$3,687.29 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,PA,63,"$29,206.57 ","$5,186.68 ","$3,718.75 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,NY,70,"$24,701.96 ","$6,832.10 ","$5,094.81 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,CA,76,"$43,891.04 ","$6,745.12 ","$5,289.95 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,FL,118,"$41,192.92 ","$4,826.21 ","$3,497.62 "
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,TX,150,"$36,641.63 ","$5,719.21 ","$3,538.56 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,WI,11,"$28,920.36 ","$8,727.00 ","$7,681.73 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,AL,13,"$38,965.62 ","$7,181.38 ","$6,487.54 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,KY,13,"$27,635.62 ","$8,130.31 ","$5,857.38 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,IL,14,"$72,248.64 ","$12,377.07 ","$10,805.79 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,MN,14,"$28,755.71 ","$10,053.57 ","$9,230.64 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,MA,15,"$44,953.13 ","$12,162.67 ","$10,675.93 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,IN,16,"$45,201.00 ","$11,016.63 ","$8,880.38 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,MO,17,"$57,706.94 ","$10,008.82 ","$9,372.06 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,NC,17,"$31,010.53 ","$9,722.53 ","$7,267.76 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,OH,17,"$79,554.65 ","$18,196.59 ","$15,416.71 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,VA,17,"$32,604.65 ","$9,217.06 ","$6,977.35 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,GA,18,"$29,055.78 ","$7,562.89 ","$6,419.17 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,MD,18,"$19,814.83 ","$18,269.17 ","$17,483.61 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,MI,19,"$38,548.74 ","$10,209.37 ","$8,500.26 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,PA,23,"$87,035.30 ","$12,851.17 ","$9,526.61 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,NY,27,"$54,023.26 ","$13,265.74 ","$11,651.07 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,FL,29,"$65,629.31 ","$9,635.00 ","$7,933.59 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,TX,30,"$62,074.03 ","$10,239.73 ","$8,759.90 "
080 - NONTRAUMATIC STUPOR & COMA W MCC,CA,38,"$119,425.39 ","$14,167.16 ","$12,765.00 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,MI,12,"$14,482.92 ","$6,706.08 ","$4,871.25 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,TN,13,"$18,503.38 ","$5,042.77 ","$4,157.38 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,AL,14,"$26,061.93 ","$5,280.50 ","$3,629.36 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,CT,14,"$24,686.43 ","$7,421.57 ","$6,536.71 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,AR,15,"$16,764.73 ","$5,020.47 ","$4,008.07 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,VA,15,"$19,676.80 ","$6,200.67 ","$3,784.93 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,WI,15,"$22,798.80 ","$7,667.87 ","$4,326.33 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,NJ,17,"$48,383.29 ","$7,556.00 ","$5,409.71 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,SC,18,"$25,317.00 ","$5,182.94 ","$3,822.22 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,KY,19,"$23,805.53 ","$5,085.58 ","$4,287.32 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,MA,19,"$19,467.79 ","$7,232.53 ","$5,782.84 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,GA,20,"$24,031.65 ","$5,053.15 ","$4,167.65 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,NC,21,"$29,036.95 ","$8,659.57 ","$5,895.43 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,MO,22,"$23,150.45 ","$5,184.23 ","$4,217.68 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,MD,24,"$12,116.92 ","$11,179.29 ","$10,320.63 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,OH,25,"$21,113.48 ","$6,139.04 ","$4,598.72 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,IL,28,"$25,445.00 ","$5,645.21 ","$4,806.71 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,MN,31,"$21,328.68 ","$6,058.65 ","$4,792.35 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,NY,32,"$25,800.88 ","$7,261.09 ","$5,587.34 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,CA,34,"$40,850.62 ","$7,166.15 ","$6,514.26 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,FL,37,"$29,207.57 ","$5,251.78 ","$4,501.78 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,TX,37,"$28,554.08 ","$5,671.78 ","$4,096.70 "
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,PA,43,"$37,386.40 ","$6,366.09 ","$4,918.28 "
"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",NH,11,"$74,046.73 ","$17,676.64 ","$16,012.27 "
"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",ID,12,"$36,100.50 ","$13,696.50 ","$12,597.50 "
